資料年月,產業別,公司家數,YoY中位數%
11508,M14D 毛紡,1,140.2441731409545
11508,M30A 證券,8,111.39694347967702
11508,M22A 汽車製造,7,98.4969606411519
11508,M25E 靈骨塔,2,91.91210131567433
11508,M28F 票券公司,1,54.67421856837923
11508,M13C 輕油裂解,1,50.28664779657053
11508,M23H 電子設備,84,42.51717000649329
11508,M23B 印刷電路板,66,40.582840603580124
11508,M20B 金屬製品,11,37.664156804152086
11508,M23A 電腦及週邊,65,35.82690162998942
11508,M23T 電子通路,57,35.1919397058577
11508,M17Z 其他化學,18,31.91683473311466
11508,M26A 海運,12,31.062250846303606
11508,M23G 半導體,163,29.27771748942473
11508,M23K 通信網路,74,26.817191653679874
11508,M25D 仲介建經,1,26.24243876694443
11508,M26D 空運,4,26.06987060312211
11508,M23D 電子零組件,195,25.08933578159188
11508,M22B 機車船製造,11,23.571776912366506
11508,M25A 建設,74,22.16517290505406
11508,M13B 塑膠製品,8,20.708674735043566
11508,M17F 樹脂,16,20.56055139970624
11508,M23X 資訊服務,73,20.16137918832383
11508,M28N 保險經紀,2,19.792503202132757
11508,M16 電纜,11,19.598369292655352
11508,M15A 機械,44,18.699479537392047
11508,M23Z 其他電子,13,17.780449485962418
11508,M21C 橡膠原料,5,16.964632724446172
11508,M21B 橡膠,2,15.846473917368748
11508,M99L 資源回收,28,15.567574908502475
11508,M99D 公用事業,15,15.499684873151953
11508,M30C 期貨,2,15.22871440442401
11508,M17C 藥,75,13.935210320845938
11508,M28L 金融控股,13,13.898753138784288
11508,M12A 罐頭加工,2,13.24545044765702
11508,M14Z 其他紡織,5,12.75986290062482
11508,M23E 數位雲端,20,11.881400723492241
11508,M20A 基本金屬,53,11.847793061266259
11508,M17H 生物科技,11,11.542346291878882
11508,M15C 家電製品,22,11.219507352700457
11508,M15B 電機製品,14,10.714814018047969
11508,M21A 輪胎,5,10.485149594280998
11508,M23C 光電及I/O,130,9.849321993850566
11508,M25C 工程承攬,6,9.42002029759555
11508,M17G 醫療耗材,57,9.322370286362348
11508,M17B 染料及顏料,6,9.254815718380485
11508,M26B 陸運,2,8.835378430947415
11508,M15E 自行車組件,3,8.717393403501028
11508,M25B 營造,17,7.954559176920941
11508,M26C 貨運倉儲,15,7.804528243900269
11508,M19A 造紙,6,7.607112977872289
11508,M18 玻璃陶瓷,6,7.346100003793483
11508,M28A 本國銀行,9,7.060368875130942
11508,M27C 旅行社,7,6.988488132071125
11508,M15D 汽車組件,54,6.816747433041865
11508,M11C 其他水泥,2,6.763843668500405
11508,M13A 石化,30,6.645585813622416
11508,M15H 儀器設備,5,5.66321072986094
11508,M99I 保全,2,5.483619495511907
11508,M14C 成衣,28,5.367630831359371
11508,M99Z 其他,27,5.206317955870409
11508,M17X 醫藥通路,11,4.846028276568076
11508,M28J 產險,5,4.706880588210361
11508,M14F 不織布,5,4.360305225239183
11508,M99K 鞋及旅行箱,11,4.325261712464019
11508,M12Z 其他食品,10,4.239960790308601
11508,M99B 五金及家具,17,4.203265064610972
11508,M27A 餐飲飯店,40,4.04536424457842
11508,M25F 物業管理,4,3.6906310135981966
11508,M14E 染整,3,3.400595434998346
11508,M11B 預拌混凝土,3,3.12297284774349
11508,M29A 百貨批發,24,2.8430848467719483
11508,M23U 消費性電子,27,2.398733541059403
11508,M99F 平媒電子報,2,2.341043559382584
11508,M99C 印刷,6,1.8295725396450813
11508,M19B 紙漿,1,1.6474805266423107
11508,M12C 飲料乳品,7,1.3080196339671886
11508,M12B 油脂飼料,12,1.2417645099363464
11508,M22X 汽車買賣,4,1.0386838720487765
11508,M17Y 化妝美容,8,0.4069472833029337
11508,M17E 清潔劑,5,-0.22745157769146804
11508,M15Z 其他電製品,9,-0.5053297359458623
11508,M99G 有線電視,2,-1.7899650572432126
11508,M28K 租賃,4,-2.365154318762894
11508,M99H 電視廣播,7,-3.412680420161717
11508,M27B 觀光遊樂區,3,-5.361117507099547
11508,M29B 貿易,7,-5.434177906512505
11508,M14B 棉紡,3,-5.6395574244728754
11508,M14A 人纖,14,-8.157545288115324
11508,M11A 水泥製造,8,-8.360217578971142
11508,數位雲端,1,-26.552513451648384
11508,M99E 廣告,1,-73.50798899080888
11508,M31B 創投,2,-137.5551324112878
